Ethnicity ID;Translation;Ethnicity;Country of Origin
/m/0268_k;Danes;Danes;Denmark
/m/0dqqwy;Danish Americans;European Americans;United States of America
/m/04tvpv;;;
/m/04dbw3;Cuban Americans;Hispanic and Latino Americans;United States of America
/m/0h2138;Czech Americans;European Americans;United States of America
/m/02vsw1;European Americans;European Americans;United States of America
/m/0gkxl2;Stateside Puerto Ricans;Hispanic and Latino Americans;Puerto Rico
/m/09743;Pashtuns;Pakistanis, Afghans;Pakistan, Afghanistan
/m/05l3g_;Dutch;Dutch;Netherlands
/m/0cn68;Japanese Americans;Asian Americans;United States of America
/m/013b6_;Ashkenazi Jews;Ashkenazi Jews;Bulgaria, Croatia, Lithuania, Poland, Romania, Slovakia, Czech Republic
/m/04gfy7;Indian Americans;Asian Americans;United States of America
/m/0dbxy;Ast�n;Spanish;Spain
/m/0fj1k9;Sicilian Americans;European Americans;United States of America
/m/0g6ff;Russians;Russians;Russia
/m/0ffjqy;Croatian Americans;European Americans;United States of America
/m/02p1pl6;;;
/m/0bbz66j;Australians;European Australians;Australia
/m/0432mrk;Indigenous peoples of the Americas;Native Americans;United States of America
/m/03w9bjf;British Indian;Asian British;United Kingdom
/m/02jvpv;Kiwi;New Zealanders;New Zealand, Autralia
/m/0ffkb4;Lithuanian Americans;European Americans;United States of America
/m/0bymc;Parsi;Indians;India
/m/04y8_bm;Multiracial American;;United States of America
/m/03gskx0;Australian Americans;Oceanian Americans;United States of America
/m/0268d21;Serbian Americans;European Americans;United States of America
/m/0ffhz3;Albanian Americans;European Americans;United States of America
/m/0dllcfn;Afghans in India;Afghans in India;India
/m/071x0k;Filipino;Filipino;Philippines
/m/029f2r;Sindhis;Indians, Pakistanis;India, Pakistan
/m/06j2v;Romani;Indians;India
/m/04jq32s;Nepali Indian;Nepali Indian;India
/m/0dj8k3;British Jews;British Jews;United Kingdom
/m/02p4q5p;Portuguese Americans;European Americans;United States of America
/m/0ffjvd;Ukrainian Americans;European Americans;United States of America
/m/01j2qv;Korean Americans;Asian Americans;United States of America
/m/0cm7w1;Bihari;Indians;India
/m/032j30;Native Hawaiians;Native Hawaiians;Hawaii
/m/04f581;Koikk�la;Estonian;Estonia
/m/059_w;Native Americans;Native Americans;United States of America
/m/04q7gbh;Americans;;United States of America
/m/04mmhj;British Chinese;Asian British;United Kingdom
/m/01336l;Asian Americans;Asian Americans;United Kingdom
/m/033njm;Irish Canadians;European Canadians;Canada
/m/03cbkrf;English Australian;European Australians;Australia
/m/0bfjm7;Welsh Americans;European Americans;United States of America
/m/09zyn5;Norwegians;Norwegians;Norway
/m/04ydrsn;Israeli Americans;Jewish Americans;United States of America
/m/04czx7;Chinese Filipino;Chinese Filipino;Philippines
/m/012c1l;French Canadians;European Canadians;Canada
/m/03295l;Filipino Americans;Asian Americans;United States of America
/m/019lrz;Austrians;Austrians;Austria
/m/09cqth;Romanichal;Asian British;United Kingdom
/m/0g5y6;Hungarians;Hungarians;Hungary
/m/0bs7l_v;Pakistanis;Pakistanis;Pakistan
/m/05748;M_ori;New Zealanders;New Zealand
/m/022fdt;Armenians;Armenians;Armenia
/m/09vmyh;Serbs of Croatia;Serbs of Croatia;Croatia
/m/0283js_;;;
/m/04nrnz;Iranian;Iranian;Iran
/m/017sq0;Eurasian;;
/m/02p656s;;;
/m/05g0f1;Akan;Akan;Ghana, Ivory Coast, Togo
/m/067lts;Polish Canadians;European Canadians;Canada
/m/02qv_h_;Syrian Americans;Arab Americans;United States of America
/m/05sf2x;Italian Canadians;European Canadians;Canada
/m/013b7g;Sephardi Jews;Sephardi Jews;Spain, Portugal
/m/0761bp;Chitrapur Saraswat Brahmin;Indians;India
/m/04y29;Muslim;;
/m/0bzkm2;Taiwanese;Taiwanese;Taiwan
/m/067lrj;Greek Canadians;European Canadians;Canada
/m/0fqp6zk;Bengali Hindus;Bengali;India, Bangladesh
/m/0912ll;Dominican Americans;Hispanic and Latino Americans;United States of America
/m/01swvz;Anglo-Celtic Australians;European Australians;Australia
/m/09lz9zx;;;
/m/025_0f0;Swiss;Swiss;Switzerland
/m/0g48m4;Lebanese Americans;Arab Americans;United States of America
/m/078vc;Sikh;Indians;India
/m/0f0gt_;Asian;;
/m/0c2hxm;Colombian Americans;Hispanic and Latino Americans;United States of America
/m/02y_9mh;Kanyakubja Brahmins;Indians;India
/m/0150zs;Arab Americans;Arab Americans;United States of America
/m/0152s7;Anglo-Irish;British;United Kingdom
/m/0222hg;Jaat;Indians;India
/m/01nbcy;Taiwanese Americans;Asian Americans;United States of America
/m/071drf;Chaliyan;Indians;India
/m/0462jl6;Pathani;Indians;India
/m/0j4w_;Croats;Croats;Croatia
/m/0fng3k;Jatt Sikh;Indias;India
/m/0ffj5g;Austrian Americans;European Americans;United States of America
/m/0hbz9xw;;;
/m/04ggbzy;White Africans of European ancestry;;
/m/0b98sy;;;
/m/016f5d;Blackfoot Confederacy;Native Canadians;Canada
/m/06fczy;Black Irish;British;United Kingdom
/m/0ch3pqf;Belgians;Belgians;Belgium
/m/01mw1s;Chinese Canadians;Asian Canadians;Canada
/m/04608z;Afro Trinidadians and Tobagonians;African Trinidadians and Tobagonians;Republic of Trinidad and Tobago
/m/09gp4;Belarusians;Belarusians;Belarusia
/m/0338zd;Malaysian Chinese;Malaysian Chinese;Malaysia
/m/074w_m;Tulu;Indians;India
/m/08v2k7;Italian Australians;European Australians;Australia
/m/027vy0s;White Latin American;European Latin American ;Mexico, Venezuela, Argentina, Uruguay, Peru, Colombia, Puerto Rico
/m/04_bc8;;;
/m/08gzsf;Konkani;Indians;India
/m/06rd7;S�mi;S�mi;Norway, Sweden, Kola Peninsula, Finland
/m/02wcbj_;Bolivian Americans;Hispanic and Latino Americans;United States of America
/m/01p7s6;Poles;Poles;Poland
/m/075_n6;Bunt;Indians;India
/m/0520604;Mangaloreans;Indians;India
/m/04_tz7;Slovene Americans;European Americans;United States of America
/m/026cybk;Serbian Canadians;European Canadians;Canada
/m/0640_7q;Moroccan Jews;Sephardi Jews;Morocco
/m/092h2qt;;;
/m/04znbg;African-American Jews;African-American Jews;United States of America
/m/0gf5k1;Italians in the United Kingdom ;European British;United Kingdom
/m/0dv5vw;Pacific Islander Americans;Oceanian Americans;United States of America
/m/0278pqj;British Nigerian;African British;United Kingdom
/m/07j80c;Samoan Americans;Oceanian Americans;United States of America
/m/013s3n;Czechs;Czechs;Czech Republic
/m/03yk6g;Afro-Cuban;African Latino Americans;Cuba
/m/0h1nk0k;;;
/m/0bnzjx;Criollo;European Latino Americans;Mexico, Venezuela, Argentina, Uruguay, Peru, Colombia, Puerto Rico
/m/02czfr;Black Canadians;African Canadians;Canada
/m/05qb937;Venezuelans;Venezuelans;Venezuela
/m/03pqwy;Finnish Americans;European Americans;United States of America
/m/04_hr_;Chinese Singaporeans;Chinese Singaporeans;Singapour
/m/01trsl;First Nations;Native Canadians;Canada
/m/02q206y;Iranians in the United Kingdom;Arab British;United Kingdom
/m/0bkbz;names of the Greeks;Greeks;Greece
/m/0bh91q8;Guyanese Americans;Guyanese Americans;United States of America
/m/0g4pffv;Russian Canadians;European Canadians;Canada
/m/0268pvf;Iraqi Americans;Arab Americans;United States of America
/m/04lhn7b;South African Americans;African Americans;United States of America
/m/01hwt;Black ;;
/m/0bjbszh;;;
/m/0fq6zlv;;;
/m/07lv5x;Bahamian Americans;Hispanic and Latino Americans;United States of America
/m/06k6sl;Swedish Canadians;European Canadians;United States of America
/m/07d_p8;Catalans;Spanish;Spain
/m/0738n4;Hmong Americans;Asian Americans;United States of America
/m/07s9g04;Latin American British;Hispanic British;United Kingdom
/m/07hyjp;Irish Australians;European Australians;Australia
/m/01sq7s;Mohawk;Native Americans;United States of America
/m/0fk1z;Hispanic;Argentine, Bolivian, Chilean, Colombian, Costa Rican, Cuban, Dominican, Ecuadorian, Salvadoran, Equatoguinean, Guatemalan, Honduran, Mexican, Nicaraguan, Panamanian, Paraguayan, Peruvian, Puerto Rican, Spanish, Uruguayan, Venezuelan;Argentina, Bolivia, Chile, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, Equatorial Guinea, Guatemala, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Spain, Uruguay, Venezuela
/m/0b__fv3;Tamil Americans;Asian Americans;United States of America
/m/0266mf0;Palestinians in the United States;Arab Americans;United States of America
/m/01tyl3;Vietnamese Americans;Asian Americans;United States of America
/m/03d19xz;Canadians in the United Kingdom;American British;United Kingdom
/m/0g5k7qv;;;
/m/047948f;Scottish Australians;European Australians;United Kingdom
/m/062_25;Italian Brazilians;European Brazilians;Brazil
/m/097nms;Black Britons;African British;United Kingdom
/m/0ffhvl;Turkish Americans;Arab Americans;United Kingdom
/m/09fqz7;Croatian Australian;European Australians;Australia
/m/03wbmrc;Ghanaian Americans;African Americans;United States of America
/m/012f86;Ukrainians;Ukrainians;Ukraine
/m/0h6mqq9;;;
/m/047l_90;;;
/m/026kx7g;Colombians;Colombians;Colombia
/m/067lwk;Croatian Canadians;European Canadians;Canada
/m/021pd;Choctaw;Native Americans;United States of America
/m/0btrm4;Armenian Americans;European Americans;United States of America
/m/0d8qh0;Indonesian Americans;Asian Americans;United States of America
/m/04k02l;Marwari;Indians;India
/m/0301y_;Yoruba;Yoruba;Nigeria, Benin, Togo
/m/04lfc70;Armenians in Italy;Armenians in Italy;Italy
/m/0b79c7;Kashmiri;Indians, Pakistanis;India, Pakistan
/m/0h8mzsl;;;
/m/051wcch;Bulgarian Canadians;European Americans;United States of America
/m/03fk0c;Icelanders;Icelanders;Iceland
/m/0br_8h;Galicians;Spanish;Spain
/m/09gk_6h;Argentines;Argentines;Argentina
/m/0bbcnlt;;;
/m/09y7x4;Filipino Australians;Asian Australians;Australia
/m/01xttr;Kannada;Indians;India
/m/018s6c;Israelis;Jewish;Istrael
/m/046j25;Lumbee;Native Americans;United States of America
/m/0fxmtg;Honduran Americans;Hispanic and Latino Americans;United States of America
/m/04dzwby;French Chilean;French Chilean;Chinlean
/m/08cjt2;Karnataka Brahmins;Indians;India
/m/07gzw5;Kapampangan;Filipino;Philippines
/m/03f3sf;Romanian Americans;European Americans;United States of America
/m/02vkw95;Ecuadorian Americans;Hispanic and Latino Americans;United States of America
/m/03r_k;Inuit ;Inuit;Greeland, Canada, United States of America, Russia
/m/04kbvpz;;;
/m/0bms44;Louisiana Creole people;European Americans;United States of America
/m/02p7gyv;Brazilian Americans;Brazilian Americans;United States of America
/m/01f9bg;I�upiaq;Inuit;Greeland, Canada, United States of America, Russia
/m/0987ctr;;;
/m/02p_gby;Rusyn;European Americans;United States of America
/m/03m3p6w;;;
/m/05cc9h;Somalis;Somalis;Somalia
/m/03vghh;Portuguese;Portuguese;Portugal
/m/02rdfpy;Salvadoran Americans;Hispanic and Latino Americans;United States of America
/m/09tqq8q;Ghanaian;Ghanaian;Ghana
/m/02rp50t;Dutch Australian;European Australians;Australia
/m/0bns36b;;;
/m/0dq1q;Cree;Native Americans;United States of America
/m/065z7w_;Moroccan Americans;Arab Americans;United States of America
/m/0dqrh8;Polish Australians;European Australians;Australia
/m/0cc5y74;;;
/m/03x_lpj;Sudanese Arabs;Sudanese Arabs;Sudan
/m/03sx6v;German Canadians;European Canadians;Canada
/m/01g0y_;Ojibwe;Native Americans;United States of America
/m/02vkd28;Haitian Americans;Haitian Americans;United States of America
/m/067lv3;Dutch Canadians;European Canadians;Canada
/m/03cdk7b;;;
/m/07s49c2;Chileans in the United Kingdom;Hispanic British;United Kingdom
/m/047bp1r;Colombian Australian;Hispanic Australians;Australia
/m/0470lk;Bosnians;Bosnians;Bosnia
/m/078ds;Sinhalese;Sri Lankan;Sri Lanka
/m/04fh1b;Afro-Asians;;
/m/09cd0m;Filipino mestizo;Mixited Filipino;Philippines
/m/0g5rkt4;Corsicans;Corsica;Corsica
/m/03fvrb;Khatri;Indians, Pakistanis, Afghan;India, Pakistan, Afghanistan
/m/02pzb09;Castilians;Spanish;Spain
/m/05sycg;British Asians;Asian British;United Kingdom
/m/0647lm;Pakistani Americans;Asian Americans;United States of America
/m/09chmw;Filipino people of Spanish ancestry;Spanish Filipino;Philippines
/m/03d26m9;Hondurans;Hondurans;Hondura
/m/025xss1;;;
/m/04wy6k;Cambodian Americans;Asian Americans;United States of America
/m/051x6yk;Arabs in Bulgaria;Arabs in Bulgaria;Bulgaria
/m/033qxt;Mizrahi Jews;Mizrahi Jews;Iraq, Iran, Yemen, Syria, Lebanon, Egypt, Turkey, Morocco, Tunisia, Lybia, Kurdistan
/m/04pnf;Latino;Hispanic and Latino Americans;United States of America
/m/0cx3p;Berber;Berber;Morroco, Algeria, Tunisia, Libyia, Mauritania, Mali, Niger
/m/04l_pt;Thai Chinese;Thai Chinese;China
/m/01_5cg;Apache;Native Americans;United States of America
/m/065577s;;;
/m/097r55;Manx;British;United Kingdom
/m/02rm7_9;Peruvians in the United Kingdom;Hispanic British;United Kingdom
/m/02p444n;Cubans;Cubans;Cuban
/m/05ms3p0;Punjabi;Indians, Pakistanis;India, Pakistan
/m/0b8yvr;Sudanese Australians;African Australians;Australia
/m/026c9dq;Chilean Americans;Hispanic and Latino Americans;United States of America
/m/0fpjs3j;Uruguayans;Uruguayans;Uruguay
/m/026zlyd;African people;;
/m/0165md;Ryukyuan;Japanese;Japan
/m/01kb9y;multiracial;;
/m/06dy2k;Serbs of Bosnia and Herzegovina;Serbs;Bosnia and Herzegovina
/m/03zcwh;Ukrainian Canadians;European Canadians;Canada
/m/03ftx7;;;
/m/0c41n;Acadians ;European Americans;United States of America
/m/05y2yj;Baltic Russians;Baltic Russians;Estonia, Latvia, Lithuania
/m/0bvjpj;Nigerian Americans;African Americans;United States of America
/m/02gx2x;Javanese; Javanese;Java Island
/m/03x1x;Five Nations;Native Americans;United States of America
/m/0166vx;Tejano;Hispanic and Latino Americans;United States of America
/m/02r_qms;Brazilians;Brazilians;Brazil
/m/01n94b;Slovaks;Slovaks;Slovakia
/m/075dhf0;;;
/m/0268xtg;Serbian Australians;European Australians;Australia
/m/0301xt;Dene;Native Canadians;Canada
/m/0hj35;Xhosa;Native South African;South African
/m/0fp4n;Tatars;Tatars;Russia, Ukraine, Kazakhstan, Usbekistan, Poland, Lithuania, Belarus
/m/0318mh;Finns;Finns;Finland
/m/05mtdy;Indo-Canadians;Asian Canadians;Canada
/m/06vb7b;Iranian Canadians;Arab Canadians;Canada
/m/04118b;German Brazilians;European Brazilians;Brazil
/m/035b50;Japanese Brazilians;Asian Brazilians;Brazil
/m/02pj9yr;;;
/m/046cwm;Nair;Indians;India
/m/0dn1_0;Italian immigration to Mexico;European Mexican;Mexico
/m/03hf_6z;Gibraltarian;Gibraltarian;Gibraltar
/m/01d7kx;Swedish-speaking population of Finland;Finns;Finland
/m/07n8wy;Agrawal;Indians;India
/m/02r3wfk;British Jamaicans;European Jamaicans;Jamaica
/m/03m9my8;Arab Mexican;Arab Mexican;Mexico
/m/04lgl9t;Austrians in the United Kingdom;European British;United Kingdom
/m/06bkf;Qu�b�cois;European Canadians;Canada
/m/0fp54b;Koryo-saram;Koreans of the former Soviet Union;Uzbekistan, Russia, Kazakhstan, South Korea, Kyrgyzstan, Ukraine, Turkmenistan, Tajikistan, Belarus, Estonia
/m/08c25t;Wolof;Wolof;Senegal, Gambia, Mauritania
/m/0288fw3;Poles in the United Kingdom;European British;United Kingdom
/m/03ndvw;Vietnamese;Vietnamese;Vietnam
/m/07wsyr;Thai;Thai;Thailand
/m/08j1fb;Bangladeshi Americans;Asian Americans;United States of America
/m/06w4lv;Indo-Guyanese;Asian Guyanese;Guyana
/m/039z49;Dinka;Sudanese;Sudan
/m/04jtjvt;;;
/m/01ywdy;Estonians;Estonians;Estonia
/m/03q819;Yugoslav;Yugoslav;Yugoslavia
/m/09c8kp;Afro-Guyanese;African Guyanese;Guyana
/m/0b3zsn;Greeks in the United Kingdom;European British;United Kingdom
/m/047q05d;Lebanese people in the United Kingdom;Arab British;United Kingdom
/m/01hphz;Indian diaspora;;
/m/044bp_;Indo Caribbeans;Aisan Caribbean;Mexico, Central America, South America, Honduras, Nicaragua, Costa Rica, Colombia, Venezuela
/m/04hqxn;Transylvanian;Romanian;Romania
/m/043_z22;;;
/m/013s41;Bulgarians;Bulgarians;Bulgaria
/m/0152wh;Chinese Indonesians;Chinese Indonesians;Indonesia
/m/03cmqbt;Spanish people of Filipino ancestry;European Filipino;Philippines
/m/09g34_;Malagasy;Malagasy;Madagascar
/m/0fpxlz9;;;
/m/0c50f;M�tis;;
/m/064pj;Persians;Iranian;Iran
